Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field
12429,delphinology,Noun,"The study of dolphins. 2016, Frank Joseph, Our Dolphin Ancestors: Keepers of Lost Knowledge and Healing Wisdom:And yet, only some of the mysteries I wanted to explore lay within the limited purview of delphinology. There were associated spiritual, even paranormal, issuestaboo lines of inquiry shunned by modern sciencethat were too integrally bound up in the whole enigma for dismissal or avoidance.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
12513,deltiology,Noun,The study and collection of postcards.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
13473,demography,Noun,The study of human populations and how they change.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
13631,demonology,Noun,"The study of demons, especially the incantations required to summon and control them. 1990, Terry Pratchett, Eric, page 27:But it wasn't all that strange, because any wizard bright enough to survive for five minutes was also bright enough to realize that if there was any power in demonology, then it lay with the demons.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
14148,dendroarchaeology,Noun,the science that uses dendrochronology to date wooden material from archaeological sites,archaeology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
14161,dendrochemistry,Noun,"the science, related to dendrochronology, that uses the analysis of trace minerals in tree rings to study air pollution in past times",chemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
14166,dendrochronology,Noun,The science that uses the spacing between the annual growth rings of trees to date their exact year of formation.,"biology, archaeology",False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
14172,dendroclimatology,Noun,the science that uses dendrochronology to reconstruct historical climate conditions,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
14198,dendroecology,Noun,The science that uses dendrochronology to analyze historic ecological processes.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
14205,dendrogeomorphology,Noun,the science that uses dendrochronology to study changes to the Earth's surface over time,geology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
14219,dendrohydrology,Noun,"The science that uses dendrochronology to investigate and reconstruct hydrologic processes, such as river flow and past lake levels.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
14231,dendrology,Noun,the study of trees and other woody plants,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
15028,deontic logic,Noun,"The study of obligation, permission, and related concepts.",logic,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
17176,dermatoglyphics,Noun,The study of such patterns.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
17196,dermatology,Noun,The study of the skin and its diseases,medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
