Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field,disease
13453,wildfire,Noun,"A spreading disease of the skin, particularly erysipelas.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
13893,wind,Noun,"A disease of sheep, in which the intestines are distended with air, or rather affected with a violent inflammation. It occurs immediately after shearing.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
15343,wire-heel,Noun,A disease in the feet of a horse or other animal.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
15382,wire stem,Noun,"A disease of cabbage, cauliflower, and related plants that is caused by a fungus Pellicularia filamentosa.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
15756,wisp,Noun,A disease affecting the feet of cattle.,uncountable,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
15827,witch's broom,Noun,"A disease or deformity in a woody plant, typically a tree, where the natural structure of the plant is changed so that a dense mass of shoots grows from a single point.",phytopathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
16252,witkop,Noun,"A scalp disease similar to favus, characterised by hair loss and white crust. 1968, Microbiology Abstracts: Bacteriology - Volume 4:A report of eight cases of witkop (a disease affecting hairy skin on the scalp characterised by alopecia and the formation of thick white crusts on the affected scalp) in Bantus aged 18-20 years is given. 1970, British Journal of Venereal Diseases - Volumes 46-47, page 217:These two cases of witkop had a close resemblance to favus, but no evidence of fungus infection was found. 1974, SAMJ - Volume 48, Issues 53-63, page 2354:He was struck by the number of cases of tinea capitis that were seen during his visit, for scalp ringworm, sometimes covering almost the entire scalp, (witkop) is common among Transkeian children. 1978, Cutis - Volume 22, page 334:Another condition of the scalp is witkop. Small indurated papules covering the scalp develop into heaped-up crusts similar to those seen in secondary syphilis.",South Africa,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
16531,wobbly hedgehog syndrome,Noun,"A disease found in the African Pygmy domesticated hedgehog, characterized by vacuolization of the grey matter of the brain and spinal cord that leads to neurogenic muscle atrophy.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
205,babesiasis,Noun,"A disease caused by infection by protozoa of the genus Babesia, normally transmitted by ticks",pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
210,babesiosis,Noun,"A malaria-like parasitic disease caused by Babesia, a genus of protozoa.",pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
5784,bane,Noun,A disease of sheep; the rot.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
8459,bartonellosis,Noun,An infectious disease produced by bacteria of the genus Bartonella.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
9034,basidiobolomycosis,Noun,A fungal disease caused by a fungus in the genus Basidiobolus.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
15801,belesh,Noun,The disease bejel.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
18460,berylliosis,Noun,"A chronic disease of the lungs, caused by inhalation of beryllium compounds.",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
22578,bilharzia,Noun,The parasitic disease schistosomiasis,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
22664,biliopathy,Noun,"Any disease or abnormality of the bile duct 2015, Veereshwar Bhatnagar, Surgical gastroenterology in children, in Journal of Indian Association of Pediatric Surgeons[1], volume 20, DOI:10.4103/0971-9261.159012:However, just when we started believing that medical management, pharmacological prophylaxis, and endoscopic procedures could reduce crowding in the pediatric surgical clinics, newer indications for surgical intervention, e.g. portal biliopathy, have emerged.",pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
28200,bitter pit,Noun,"A disease of apples and pears, characterised by dark spots of dead cells, believed to be caused by calcium deficiency.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
28201,bitter rot,Noun,"A disease of apples, caused by the fungus Glaeosporium fructigenum.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
